task_id,title,description,priority,status,assigned_to,deadline,created_at,category
1,Update Database Schema,Write unit tests for the newly added features.,Medium,Completed,Charlie,2025-03-25,2025-03-17,Feature
2,Create Unit Tests,Write unit tests for the newly added features.,High,Open,Eve,2025-05-26,2025-05-06,Documentation
3,Fix UI Glitches,Update the navigation bar as per the new UI guidelines.,Low,Completed,Alice,2025-04-23,2025-04-10,Improvement
4,Create Unit Tests,Fix alignment and spacing issues on the mobile view.,Medium,In Progress,Eve,2025-05-05,2025-04-24,Feature
5,Update Database Schema,Improve the performance of the backend queries.,Medium,Completed,Eve,2025-06-10,2025-04-27,Documentation
6,Design Landing Page,Update the schema to support new user roles and permissions.,High,Open,Diana,2025-04-27,2025-04-23,Improvement
7,Create Unit Tests,There is a bug preventing users from logging in with valid credentials.,High,Open,Eve,2025-05-31,2025-05-01,Refactor
8,Optimize Backend,Refactor the legacy code for better readability.,High,Completed,Diana,2025-06-13,2025-04-27,Documentation
9,Implement OAuth2,Improve the performance of the backend queries.,High,In Progress,Alice,2025-03-24,2025-03-22,Bug
10,Create Unit Tests,Implement secure login using OAuth2 protocol.,Medium,Completed,Bob,2025-05-11,2025-04-07,Documentation
11,Design Landing Page,Update the navigation bar as per the new UI guidelines.,Medium,In Progress,Bob,2025-06-03,2025-05-05,Bug
12,Fix Login Bug,Design a responsive landing page for the new campaign.,High,Open,Diana,2025-06-09,2025-05-10,Improvement
13,Optimize Backend,There is a bug preventing users from logging in with valid credentials.,High,hope,,2025-05-20,2025-05-12,
14,Fix Login Bug,Update the navigation bar as per the new UI guidelines.,Medium,Completed,Diana,2025-06-13,2025-04-11,Bug
15,Implement OAuth2,Fix alignment and spacing issues on the mobile view.,Medium,Open,Charlie,2025-05-10,2025-05-04,Refactor
16,Fix Login Bug,Refactor the legacy code for better readability.,Low,In Progress,Eve,2025-04-18,2025-04-08,Feature
17,Fix UI Glitches,Improve the performance of the backend queries.,High,Open,Eve,2025-05-31,2025-05-02,Improvement
18,Implement OAuth2,Complete the documentation for the public API.,Low,Completed,Bob,2025-05-16,2025-04-20,Refactor
19,Optimize Backend,Refactor the legacy code for better readability.,Medium,In Progress,Bob,2025-05-12,2025-04-17,Refactor
20,Update Database Schema,Complete the documentation for the public API.,Low,Completed,Alice,2025-05-29,2025-03-17,Refactor
21,Refactor Codebase,Fix alignment and spacing issues on the mobile view.,Low,Open,Eve,2025-05-14,2025-04-10,Feature
22,Create Unit Tests,Improve the performance of the backend queries.,Medium,Completed,Diana,2025-04-28,2025-04-03,Refactor
23,Write API Docs,Update the navigation bar as per the new UI guidelines.,High,Open,Eve,2025-06-01,2025-04-16,Refactor
24,Optimize Backend,Complete the documentation for the public API.,High,Open,Alice,2025-05-30,2025-04-07,Bug
25,Design Landing Page,Refactor the legacy code for better readability.,High,Open,Diana,2025-05-13,2025-04-14,Refactor
26,Update Database Schema,Improve the performance of the backend queries.,Low,In Progress,Bob,2025-04-20,2025-03-29,Documentation
27,Fix UI Glitches,Update the schema to support new user roles and permissions.,Medium,Completed,Diana,2025-04-24,2025-04-16,Feature
28,Create Unit Tests,Implement secure login using OAuth2 protocol.,High,In Progress,Diana,2025-04-11,2025-03-17,Refactor
29,Update Database Schema,Implement secure login using OAuth2 protocol.,Medium,In Progress,Eve,2025-06-13,2025-05-13,Bug
30,Write API Docs,Implement secure login using OAuth2 protocol.,Low,Completed,Alice,2025-06-05,2025-04-27,Bug
31,Design Landing Page,Update the schema to support new user roles and permissions.,Medium,In Progress,Diana,2025-05-29,2025-05-05,Refactor
32,Fix Login Bug,There is a bug preventing users from logging in with valid credentials.,Low,Open,Diana,2025-06-02,2025-03-29,Feature
33,Write API Docs,Design a responsive landing page for the new campaign.,Low,Open,Charlie,2025-04-30,2025-04-04,Documentation
34,Refactor Codebase,Update the navigation bar as per the new UI guidelines.,Medium,Open,Bob,2025-05-27,2025-04-27,Feature
35,Update Database Schema,There is a bug preventing users from logging in with valid credentials.,Medium,In Progress,Charlie,2025-05-08,2025-04-20,Bug
36,Implement OAuth2,Complete the documentation for the public API.,Low,Open,Diana,2025-05-02,2025-04-30,Feature
37,Fix Login Bug,Refactor the legacy code for better readability.,Medium,Completed,Alice,2025-05-04,2025-04-06,Feature
38,Write API Docs,There is a bug preventing users from logging in with valid credentials.,Medium,Open,Charlie,2025-06-07,2025-04-09,Documentation
39,Update Database Schema,Design a responsive landing page for the new campaign.,Medium,Completed,Charlie,2025-04-24,2025-03-25,Feature
40,Implement OAuth2,Improve the performance of the backend queries.,Low,Open,Charlie,2025-05-23,2025-04-25,Refactor
41,Fix Login Bug,Complete the documentation for the public API.,Medium,Open,Diana,2025-06-06,2025-04-25,Feature
42,Fix UI Glitches,Implement secure login using OAuth2 protocol.,High,Open,Eve,2025-05-02,2025-04-03,Feature
43,Fix Login Bug,Refactor the legacy code for better readability.,High,Completed,Eve,2025-05-09,2025-04-21,Refactor
44,Write API Docs,Complete the documentation for the public API.,Medium,In Progress,Eve,2025-05-21,2025-04-14,Bug
45,Implement OAuth2,Update the navigation bar as per the new UI guidelines.,High,Completed,Alice,2025-05-20,2025-04-12,Refactor
46,Refactor Codebase,Fix alignment and spacing issues on the mobile view.,Medium,Open,Alice,2025-05-04,2025-05-03,Refactor
47,Fix UI Glitches,Write unit tests for the newly added features.,Low,Completed,Bob,2025-04-30,2025-04-28,Bug
48,Design Landing Page,Design a responsive landing page for the new campaign.,Medium,In Progress,Bob,2025-05-27,2025-04-26,Documentation
